class_map,class_code,class_name,patch_id,pixel_count,area_km2,centroid_x,centroid_y,min_x,max_x,min_y,max_y
all_available_timebin,2,coherent_june_activation,9,32,0.1568,586224.375,5170924.0625,585975.0,586465.0,5170655.0,5171355.0
all_available_timebin,2,coherent_june_activation,20,13,0.06369999999999999,592054.2307692308,5168334.230769231,591925.0,592205.0,5168135.0,5168485.0
all_available_timebin,4,esi_watch_zone_exploratory,192,3838,18.8062,584674.5466388745,5163076.469515373,581495.0,589125.0,5158545.0,5167365.0
all_available_timebin,4,esi_watch_zone_exploratory,23,2288,11.2112,597842.0192307692,5171153.872377622,595425.0,600535.0,5167645.0,5176465.0
all_available_timebin,4,esi_watch_zone_exploratory,204,641,3.1409,581120.8658346334,5164245.468018721,579885.0,581915.0,5162325.0,5167085.0
all_available_timebin,4,esi_watch_zone_exploratory,27,601,2.9449,586489.1098169717,5175132.204658902,585205.0,587655.0,5174085.0,5176325.0
all_available_timebin,4,esi_watch_zone_exploratory,200,532,2.6068,593428.6842105263,5166277.105263158,591925.0,595005.0,5165195.0,5167225.0
all_available_timebin,4,esi_watch_zone_exploratory,83,511,2.5039,594878.9726027397,5170530.616438356,593465.0,597245.0,5169325.0,5171495.0
all_available_timebin,4,esi_watch_zone_exploratory,110,406,1.9893999999999998,586750.6896551724,5168583.1034482755,585485.0,588005.0,5166945.0,5169955.0
all_available_timebin,4,esi_watch_zone_exploratory,129,350,1.7149999999999999,583720.0,5168178.8,582825.0,584645.0,5167155.0,5169115.0
all_available_timebin,4,esi_watch_zone_exploratory,64,311,1.5239,590368.344051447,5172131.302250803,588985.0,591715.0,5171495.0,5172685.0
all_available_timebin,4,esi_watch_zone_exploratory,97,231,1.1319,592601.6666666666,5170143.181818182,591715.0,593535.0,5169395.0,5170935.0
all_available_timebin,5,demand_efficiency_watch_exploratory,69,5289,25.9161,592083.8731329173,5167490.759122708,587865.0,596615.0,5163725.0,5171985.0
all_available_timebin,5,demand_efficiency_watch_exploratory,102,1465,7.1785,585200.3651877133,5166987.668941979,583385.0,587095.0,5163515.0,5170795.0
all_available_timebin,5,demand_efficiency_watch_exploratory,329,1063,5.208699999999999,581597.6622765757,5162053.494825964,579395.0,583595.0,5159945.0,5164005.0
all_available_timebin,5,demand_efficiency_watch_exploratory,125,700,3.4299999999999997,582122.1,5167512.7,580235.0,583805.0,5164985.0,5170305.0
all_available_timebin,5,demand_efficiency_watch_exploratory,23,426,2.0874,599035.7511737089,5175754.319248826,598085.0,599835.0,5174505.0,5176885.0
all_available_timebin,5,demand_efficiency_watch_exploratory,33,294,1.4405999999999999,599212.1428571428,5173724.047619048,598225.0,600185.0,5172615.0,5174435.0
all_available_timebin,5,demand_efficiency_watch_exploratory,37,264,1.2935999999999999,597055.4166666666,5173519.696969697,596125.0,598085.0,5172965.0,5174015.0
all_available_timebin,5,demand_efficiency_watch_exploratory,180,205,1.0045,586599.8780487805,5167306.268292683,585835.0,587165.0,5165825.0,5168695.0
all_available_timebin,5,demand_efficiency_watch_exploratory,271,149,0.7301,582862.1140939597,5165566.140939597,582055.0,583595.0,5164775.0,5166175.0
all_available_timebin,5,demand_efficiency_watch_exploratory,299,114,0.5586,580088.8596491228,5164408.421052632,579605.0,580725.0,5163865.0,5165125.0
all_available_timebin,6,efficient_activation_support,439,96,0.4704,580771.6666666666,5160911.145833333,580165.0,581355.0,5160295.0,5161345.0
