class_map,axis,bin,class_code,class_name,pixel_count,area_km2,percent_of_class
phase1_all_scene,north_south,south,5,demand_efficiency_watch_exploratory,1169,5.7280999999999995,11.575403505297555
phase1_all_scene,north_south,middle_north,6,efficient_activation_support,602,2.9497999999999998,18.9010989010989
phase1_all_scene,north_south,middle_south,6,efficient_activation_support,1566,7.6734,49.167974882260594
phase1_all_scene,north_south,north,6,efficient_activation_support,518,2.5382,16.263736263736263
phase1_all_scene,north_south,south,6,efficient_activation_support,499,2.4451,15.66718995290424
phase1_all_scene,north_south,middle_north,7,product_disagreement_zone,933,4.5717,47.48091603053435
phase1_all_scene,north_south,middle_south,7,product_disagreement_zone,773,3.7877,39.338422391857506
phase1_all_scene,north_south,north,7,product_disagreement_zone,177,0.8673,9.007633587786259
phase1_all_scene,north_south,south,7,product_disagreement_zone,82,0.4018,4.1730279898218825
phase1_all_scene,north_south,middle_north,8,high_variability_zone,23,0.1127,60.526315789473685
phase1_all_scene,north_south,north,8,high_variability_zone,3,0.0147,7.894736842105263
phase1_all_scene,north_south,south,8,high_variability_zone,12,0.0588,31.57894736842105
phase1_all_scene,north_south,middle_north,9,seasonal_activation_zone,1479,7.2471,24.740715958514553
phase1_all_scene,north_south,middle_south,9,seasonal_activation_zone,3210,15.729,53.69688859150218
phase1_all_scene,north_south,north,9,seasonal_activation_zone,453,2.2197,7.577785212445634
phase1_all_scene,north_south,south,9,seasonal_activation_zone,836,4.0964,13.984610237537638
phase1_all_scene,west_east,east,0,unclassified_or_no_data,1,0.0049,50.0
phase1_all_scene,west_east,middle_west,0,unclassified_or_no_data,1,0.0049,50.0
phase1_all_scene,west_east,east,1,stable_core,92,0.4508,23.958333333333336
phase1_all_scene,west_east,middle_east,1,stable_core,73,0.35769999999999996,19.010416666666664
phase1_all_scene,west_east,middle_west,1,stable_core,189,0.9260999999999999,49.21875
phase1_all_scene,west_east,west,1,stable_core,30,0.147,7.8125
phase1_all_scene,west_east,east,2,coherent_june_activation,2,0.0098,2.1052631578947367
phase1_all_scene,west_east,middle_east,2,coherent_june_activation,19,0.0931,20.0
phase1_all_scene,west_east,middle_west,2,coherent_june_activation,73,0.35769999999999996,76.84210526315789
phase1_all_scene,west_east,west,2,coherent_june_activation,1,0.0049,1.0526315789473684
phase1_all_scene,west_east,east,4,esi_watch_zone_exploratory,3511,17.2039,26.997308727412534
phase1_all_scene,west_east,middle_east,4,esi_watch_zone_exploratory,2100,10.29,16.147635524798154
phase1_all_scene,west_east,middle_west,4,esi_watch_zone_exploratory,3251,15.9299,24.998077662437524
phase1_all_scene,west_east,west,4,esi_watch_zone_exploratory,4143,20.3007,31.856978085351788
phase1_all_scene,west_east,east,5,demand_efficiency_watch_exploratory,1600,7.84,15.843152787404694
